"Rk","Team","G","MP","FG","FGA","FGp","P3M","P3A","P3p","P2M","P2A","P2p","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Cleveland Cavaliers","41","244.3","38.9","84.2",".462","11.8","32.0",".370","27.1","52.2",".519","16.9","22.0",".768","9.1","31.1","40.2","22.8","7.6","4.3","14.8","21.4","106.6"
"2","Miami Heat","41","241.8","39.7","83.5",".476","13.1","35.6",".367","26.6","47.8",".557","16.5","21.0",".782","8.9","34.2","43.1","25.3","6.6","4.0","16.6","19.9","109.0"
"3","Philadelphia 76ers","39","243.2","39.9","85.5",".467","11.2","32.7",".342","28.7","52.8",".544","18.3","23.6",".775","10.3","33.1","43.4","24.0","7.0","5.0","15.9","19.6","109.2"
"4","Los Angeles Clippers","42","241.2","40.8","88.5",".461","11.6","34.0",".342","29.2","54.5",".536","17.0","22.0",".772","10.4","33.6","44.0","24.4","8.2","4.5","13.2","19.7","110.2"
"5","Brooklyn Nets","40","240.6","39.9","88.2",".452","12.0","32.7",".366","27.9","55.5",".503","18.9","24.8",".763","11.4","31.9","43.3","22.8","7.5","3.8","14.4","18.2","110.6"
"6","Phoenix Suns","41","241.8","39.8","84.4",".471","11.0","30.7",".359","28.8","53.8",".535","20.5","25.7",".796","10.4","32.4","42.9","23.0","7.1","4.2","15.1","19.7","111.0"
"7","Dallas Mavericks","41","243.0","40.6","84.6",".480","11.0","31.0",".354","29.7","53.7",".553","18.8","24.4",".772","9.9","34.0","43.9","24.0","6.2","4.0","14.1","22.8","111.0"
"8","Toronto Raptors","40","241.9","40.0","82.3",".486","12.3","33.8",".364","27.7","48.5",".570","19.0","23.9",".795","9.7","33.7","43.4","25.8","5.9","4.5","17.3","21.0","111.2"
"9","Milwaukee Bucks","39","242.6","41.6","91.7",".453","11.6","33.6",".347","29.9","58.1",".515","16.4","21.1",".778","10.5","33.1","43.6","22.9","7.2","4.5","12.4","19.6","111.2"
"10","New York Knicks","40","243.1","40.0","88.5",".452","12.7","37.4",".341","27.3","51.1",".534","18.5","24.2",".764","11.0","33.0","44.0","24.6","6.0","4.5","13.6","21.4","111.3"
"11","Memphis Grizzlies","39","241.3","39.9","89.9",".445","12.9","36.5",".354","27.0","53.4",".506","18.5","23.9",".773","11.1","32.4","43.5","25.9","7.3","5.2","14.7","21.6","111.3"
"12","Portland Trail Blazers","39","241.3","41.0","87.0",".471","11.5","32.1",".359","29.5","54.9",".537","18.6","24.0",".774","10.4","31.1","41.4","25.3","8.1","4.6","13.8","21.8","112.1"
"13","Boston Celtics","40","242.5","42.5","90.4",".470","11.6","32.6",".356","30.9","57.8",".534","16.5","21.0",".782","10.0","34.3","44.3","22.5","6.5","3.8","13.6","20.2","113.0"
"14","Washington Wizards","40","241.3","41.5","89.7",".462","12.0","32.9",".364","29.5","56.8",".519","18.2","22.5",".809","10.3","32.9","43.2","23.9","6.7","4.5","12.8","19.5","113.1"
"15","New Orleans Pelicans","40","243.8","41.4","88.2",".469","12.5","36.6",".341","28.9","51.6",".560","17.9","23.0",".780","9.9","31.9","41.8","25.3","7.5","5.5","15.8","21.3","113.1"
"16","Denver Nuggets","39","241.3","41.8","86.7",".482","12.3","34.4",".357","29.5","52.3",".564","18.0","23.8",".755","9.5","30.5","40.0","26.5","7.8","4.6","13.4","20.6","113.8"
"17","Orlando Magic","40","241.3","41.2","87.7",".470","13.0","38.0",".341","28.3","49.7",".568","18.5","23.5",".787","9.8","32.2","42.1","25.5","7.9","5.0","13.9","20.1","113.9"
"18","Minnesota Timberwolves","41","240.6","41.1","89.7",".459","13.6","37.2",".366","27.5","52.5",".525","19.1","25.5",".750","12.2","32.5","44.7","25.7","8.1","4.0","15.7","20.8","115.0"
"19","Chicago Bulls","40","243.1","42.0","88.0",".477","13.7","36.9",".372","28.3","51.1",".553","17.8","23.1",".771","9.6","33.9","43.4","26.5","6.6","5.2","15.0","19.3","115.5"
"20","Indiana Pacers","41","240.6","41.2","88.5",".466","12.3","33.9",".364","28.9","54.6",".529","20.8","25.4",".818","12.2","33.5","45.7","25.3","7.4","5.0","15.7","20.2","115.6"
"21","Houston Rockets","40","241.3","41.6","88.0",".473","14.3","39.3",".362","27.3","48.7",".562","18.5","23.6",".784","10.8","31.4","42.1","25.6","8.7","5.9","14.1","21.7","115.9"
"22","Atlanta Hawks","40","243.1","42.7","90.0",".474","11.3","32.7",".345","31.4","57.3",".548","19.8","24.5",".805","11.1","35.9","47.0","25.5","7.2","5.3","15.2","20.3","116.4"
"23","Oklahoma City Thunder","40","243.8","41.9","89.7",".467","12.8","35.6",".360","29.1","54.1",".538","20.0","25.7",".779","12.3","35.5","47.8","25.0","7.8","5.4","16.9","19.9","116.7"
"24","Utah Jazz","43","241.7","43.4","89.7",".484","10.8","30.9",".351","32.6","58.8",".553","19.3","24.6",".784","11.3","32.4","43.7","23.7","7.7","4.7","14.4","21.1","116.9"
