"Name","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST_TO","FGM","FGA","FGp","P3M","P3A","P3p","FTM","FTA","FTp","P2M","P2A","P2p","Score_eff","Shoot_eff"
"Jayson Tatum",38,38,36.7,30.8,1.1,7,8.1,4.1,1.1,0.8,2.7,2.1,1.5,10.1,21.4,47.2,3.2,9.2,35.1,7.4,8.6,85.6,6.9,12.3,56.2,1.437,0.55
"Jaylen Brown",38,38,35.4,27,1.2,5.8,7,3.3,1.1,0.5,3.1,2.8,1.1,10.1,20.4,49.7,2.5,7.5,33.5,4.2,5.4,78.5,7.6,12.9,59.1,1.324,0.56
"Malcolm Brogdon",34,0,23.6,13.5,0.8,3.3,4.1,3.9,0.6,0.3,1.6,1.4,2.4,4.6,9.7,47.4,1.8,4,44.5,2.5,2.9,87.6,2.8,5.6,49.5,1.392,0.57
"Marcus Smart",36,36,32.6,11.1,0.7,2.7,3.4,7.2,1.3,0.4,2.3,2.7,3.2,4,9.4,42.4,1.8,5.3,33.9,1.3,1.7,77.4,2.2,4.1,53.4,1.181,0.52
"Derrick White",40,33,26.2,10,0.6,2.5,3,3.4,0.8,1,1,2.3,3.4,3.4,7.5,44.8,1.5,4.1,37,1.7,2,86.1,1.9,3.5,54,1.322,0.55
"Al Horford",31,31,30.3,9.2,1.1,5.3,6.4,2.5,0.4,1,0.6,1.8,4.1,3.5,7.3,48.2,2,4.6,42.7,0.2,0.3,60,1.5,2.7,57.8,1.261,0.62
"Grant Williams",39,14,27.2,8.7,1.1,3.6,4.6,1.6,0.8,0.3,0.9,2.5,1.7,3,5.8,50.9,1.5,3.5,42.8,1.2,1.4,85.7,1.5,2.3,63.3,1.487,0.64
"Robert Williams III",9,0,19.4,7.9,3.1,4.6,7.7,1.2,0.6,1.3,0.9,1.7,1.4,3.4,4.1,83.8,0,0,0,1,1.3,75,3.4,4.1,83.8,1.919,0.84
"Sam Hauser",40,0,15.5,6.1,0.4,2.1,2.5,0.7,0.3,0.2,0.4,1.2,1.9,2.1,4.7,45,1.7,4.1,40.7,0.2,0.3,61.5,0.5,0.7,70.4,1.291,0.62
"Blake Griffin",17,8,14.4,4.8,0.9,2.8,3.6,1.2,0.3,0.1,0.4,1.9,3.3,1.7,3.5,49.2,0.5,1.5,32,0.9,1.2,71.4,1.2,2,61.8,1.373,0.56
"Payton Pritchard",25,1,9.8,4.5,0.4,0.7,1.1,1,0.3,0,0.7,0.3,1.4,1.7,4,42,0.8,2.2,36.4,0.3,0.5,66.7,0.9,1.8,48.9,1.12,0.52
"Luke Kornet",33,0,11.8,3.8,1.3,1.8,3.1,0.7,0.2,0.8,0.4,1.3,1.9,1.6,2.4,68.4,0.1,0.2,33.3,0.5,0.5,83.3,1.6,2.2,71.2,1.582,0.7
"Mfiondu Kabengele",1,0,8,2,3,1,4,0,0,0,0,1,0,1,2,50,0,1,0,0,0,0,1,1,100,1,0.5
"Noah Vonleh",23,1,7.5,1.1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,0.6,0.5,1,45.8,0,0.2,25,0.1,0.1,100,0.4,0.9,50,1.042,0.48
"Justin Jackson",17,0,4.5,0.9,0.1,0.4,0.5,0.5,0.2,0.2,0.1,0.3,4,0.3,1.2,25,0.2,0.8,28.6,0.1,0.1,50,0.1,0.4,16.7,0.75,0.35
"JD Davison",3,0,2.7,0.7,0,0.3,0.3,0.3,0.3,0,0.3,0,1,0.3,1.3,25,0,0.7,0,0,0,0,0.3,0.7,50,0.5,0.25
"Kevin Durant",39,39,36,29.7,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,1.5,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,8.7,14,62.2,1.578,0.61
"Kyrie Irving",30,30,36.5,26,0.9,4,4.9,4.7,0.8,0.8,2.2,2.6,2.1,9.7,19.8,48.8,3.1,8.6,36.6,3.6,3.9,90.7,6.5,11.2,58.2,1.315,0.57
"Nic Claxton",37,37,28.3,11.9,2.5,5.9,8.3,1.5,0.8,2.6,1.2,2.8,1.2,5.3,7.2,73.8,0,0,0,1.2,2.6,46.9,5.3,7.2,74.1,1.644,0.74
"T.J. Warren",16,0,19.9,9.9,0.7,2.5,3.2,1.4,0.8,0.3,0.7,1.7,2,4.1,7.7,53.7,0.6,1.8,34.5,1,1.1,88.9,3.5,5.9,59.6,1.285,0.58
"Royce O'Neale",37,37,35.1,9.4,0.7,4.2,4.9,4.2,0.9,0.8,1.7,3.2,2.5,3.3,8.2,40.1,2.3,5.6,41.1,0.5,0.7,65.4,1,2.6,38.1,1.138,0.54
"Seth Curry",28,1,21.2,9.2,0.2,1.9,2.1,2.1,0.6,0.2,0.9,1.8,2.3,3.4,7.5,45.2,1.8,4.1,42.6,0.7,0.7,95,1.6,3.4,48.4,1.229,0.57
"Joe Harris",33,18,24.5,7.9,0.4,2.4,2.8,1.5,0.6,0.3,0.5,2.5,2.8,2.9,6.8,42.9,1.7,4.5,37.6,0.4,0.6,66.7,1.2,2.3,53.3,1.17,0.55
"Ben Simmons",30,25,27.2,7.7,1,5.6,6.7,6,1.4,0.5,2.1,3.5,2.8,3.5,6,59.2,0,0,0,0.6,1.5,41.3,3.5,5.9,59.6,1.291,0.59
"Yuta Watanabe",27,0,18.3,7.3,0.6,2.2,2.8,0.9,0.6,0.4,0.4,1.6,1.9,2.7,4.8,55.8,1.4,2.7,52.7,0.6,0.8,71.4,1.2,2,60,1.535,0.71
"Edmond Sumner",33,9,14.4,6.8,0.3,1.1,1.4,1.4,0.8,0.2,0.9,1.5,1.5,2.3,5.1,45.6,0.5,1.7,28.1,1.6,1.8,93.1,1.8,3.4,54.5,1.325,0.5
"Cam Thomas",27,0,13.6,6.4,0.1,1.2,1.3,1.4,0.3,0.1,0.7,0.9,1.9,2.1,5.1,41.3,0.4,1.1,38.7,1.7,2.2,78.3,1.7,4,42.1,1.254,0.46
"Patty Mills",25,1,12.2,5.7,0.2,0.8,1,1.3,0.3,0,0.6,0.5,2.2,2,4.2,47.1,1.2,2.9,41.7,0.6,0.6,93.3,0.8,1.3,59.4,1.365,0.62
"Markieff Morris",19,1,11.4,4.2,0.5,1.8,2.3,1,0.3,0.2,0.6,1.2,1.7,1.4,3.2,44.3,1,2.1,48.7,0.3,0.3,100,0.4,1.2,36.4,1.295,0.6
"Day'Ron Sharpe",20,1,8.9,3.9,1.3,1.9,3.2,0.7,0.2,0.5,0.8,1.7,0.8,1.5,2.9,52.6,0.2,0.3,80,0.7,1,68.4,1.3,2.6,50,1.351,0.56
"David Duke Jr.",14,0,9,3,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,0.9,1.4,3.1,44.2,0,0.4,0,0.3,0.6,50,1.4,2.6,51.4,0.977,0.44
"Kessler Edwards",13,1,5.7,1.2,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,0.5,0.5,1.7,27.3,0.2,0.8,18.2,0.1,0.2,50,0.3,0.8,36.4,0.682,0.32
"Alondes Williams",1,0,5,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Julius Randle",40,40,35.2,24.4,2,8,10,3.8,0.8,0.4,2.6,3.1,1.5,8.1,17.6,46.2,2.7,7.7,35,5.4,7.2,75.1,5.4,9.9,55.1,1.387,0.54
"Jalen Brunson",37,37,33,20.9,0.5,2.9,3.4,6.6,1,0.1,2.2,2.3,3,7.6,16.2,46.8,1.6,4.3,38,4.1,4.9,83.6,6,12,49.9,1.29,0.52
