"name","position","age","weight","salary","height","team"
"Malcolm Brogdon","PG",30,229,22600000,193.04,"Boston Celtics"
"Jaylen Brown","SG",26,223,28741071,198.12,"Boston Celtics"
"JD Davison","SG",20,195,NA,185.42,"Boston Celtics"
"Danilo Gallinari","PF",34,236,6479000,208.28,"Boston Celtics"
"Blake Griffin","PF",33,250,1836090,205.74,"Boston Celtics"
"Sam Hauser","SF",25,217,1563518,200.66,"Boston Celtics"
"Al Horford","C",36,240,26500000,205.74,"Boston Celtics"
"Justin Jackson","SF",27,220,1836090,203.2,"Boston Celtics"
"Mfiondu Kabengele","C",25,250,1701593,208.28,"Boston Celtics"
"Luke Kornet","C",27,250,2133278,218.44,"Boston Celtics"
"Payton Pritchard","PG",24,195,2239200,185.42,"Boston Celtics"
"Marcus Smart","PG",28,220,17207141,193.04,"Boston Celtics"
"Jayson Tatum","SF",24,210,28103500,203.2,"Boston Celtics"
"Derrick White","PG",28,190,16892857,193.04,"Boston Celtics"
"Grant Williams","PF",24,236,4306281,198.12,"Boston Celtics"
"Robert Williams III","C",25,237,10937502,205.74,"Boston Celtics"
"Nic Claxton","C",23,215,8500000,210.82,"Brooklyn Nets"
"Seth Curry","SG",32,185,8496500,185.42,"Brooklyn Nets"
"David Duke Jr.","G",23,204,NA,193.04,"Brooklyn Nets"
"Kevin Durant","PF",34,240,44119845,208.28,"Brooklyn Nets"
"Kessler Edwards","SF",22,203,1637966,200.66,"Brooklyn Nets"
"Joe Harris","SF",31,220,18642857,198.12,"Brooklyn Nets"
"Kyrie Irving","PG",30,195,36934550,187.96,"Brooklyn Nets"
"Patty Mills","PG",34,180,6479000,182.88,"Brooklyn Nets"
"Markieff Morris","PF",33,245,1836090,205.74,"Brooklyn Nets"
"Royce O'Neale","PF",29,226,9200000,198.12,"Brooklyn Nets"
"Day'Ron Sharpe","C",21,265,2109480,205.74,"Brooklyn Nets"
"Ben Simmons","PG",26,240,35448672,208.28,"Brooklyn Nets"
"Edmond Sumner","PG",27,196,1968175,193.04,"Brooklyn Nets"
"Cam Thomas","SG",21,210,2138160,190.5,"Brooklyn Nets"
"T.J. Warren","SF",29,220,1836090,203.2,"Brooklyn Nets"
"Yuta Watanabe","SF",28,215,1762796,203.2,"Brooklyn Nets"
"Alondes Williams","G",23,210,NA,193.04,"Brooklyn Nets"
"Ryan Arcidiacono","G",28,195,1836090,190.5,"New York Knicks"
"RJ Barrett","SG",22,214,10900635,198.12,"New York Knicks"
"Jalen Brunson","PG",26,190,27733332,185.42,"New York Knicks"
"Evan Fournier","SG",30,205,1.8e+07,198.12,"New York Knicks"
"Quentin Grimes","SG",22,210,2277000,193.04,"New York Knicks"
"Isaiah Hartenstein","C",24,250,7804879,213.36,"New York Knicks"
"DaQuan Jeffries","SG",25,222,1701593,195.58,"New York Knicks"
"Trevor Keels","G",19,221,NA,193.04,"New York Knicks"
"Miles McBride","PG",22,195,1563518,187.96,"New York Knicks"
"Svi Mykhailiuk","SG",25,205,1836090,200.66,"New York Knicks"
"Immanuel Quickley","SG",23,190,2316240,190.5,"New York Knicks"
"Julius Randle","PF",28,250,23760000,203.2,"New York Knicks"
"Cam Reddish","SF",23,217,5954454,203.2,"New York Knicks"
"Mitchell Robinson","C",24,240,17045454,213.36,"New York Knicks"
"Derrick Rose","PG",34,200,14520730,190.5,"New York Knicks"
"Jericho Sims","C",24,250,1639842,205.74,"New York Knicks"
"Obi Toppin","PF",24,220,5348280,205.74,"New York Knicks"
"Julian Champagnie","F",21,217,NA,200.66,"Philadelphia 76ers"
"Joel Embiid","C",28,280,33616770,213.36,"Philadelphia 76ers"
