"Rk","Team","G","MP","FG","FGA","FGp","P3M","P3A","P3p","P2M","P2A","P2p","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Boston Celtics","40","242.5","42.2","88.1",".479","15.6","41.8",".373","26.6","46.4",".574","18.9","22.9",".823","9.3","34.6","43.9","26.8","6.6","5.4","13.7","19.1","118.8"
"2","Sacramento Kings","38","240.7","42.7","87.4",".489","13.1","36.7",".358","29.6","50.8",".584","19.8","25.1",".788","8.8","32.9","41.8","26.6","7.0","3.2","14.7","20.9","118.3"
"3","Utah Jazz","43","241.7","42.4","89.7",".473","14.5","40.0",".364","27.8","49.7",".560","18.3","23.2",".788","11.5","32.0","43.5","26.3","7.1","4.7","15.2","21.1","117.6"
"4","New Orleans Pelicans","40","243.8","42.6","89.1",".478","11.3","31.0",".364","31.3","58.2",".539","20.6","26.3",".783","11.9","33.7","45.6","26.1","8.7","4.4","15.4","20.6","117.1"
"5","Los Angeles Lakers","40","241.9","43.2","88.6",".487","10.5","30.6",".342","32.7","58.1",".563","20.1","25.3",".796","9.3","35.7","45.0","25.1","6.5","4.8","15.0","18.7","116.9"
"6","Golden State Warriors","40","241.9","42.4","89.9",".472","16.1","43.3",".372","26.3","46.6",".564","15.9","19.9",".796","10.0","33.9","43.9","29.3","6.7","3.9","16.8","21.9","116.8"
"7","Denver Nuggets","39","241.3","43.7","85.9",".509","12.1","30.3",".401","31.6","55.6",".568","17.1","22.8",".751","10.1","33.1","43.2","28.7","7.1","4.3","15.2","19.4","116.7"
"8","Oklahoma City Thunder","40","243.8","43.1","93.0",".463","12.1","33.7",".357","31.1","59.3",".524","18.2","23.0",".792","11.5","32.8","44.3","24.2","8.2","5.2","14.0","21.9","116.5"
"9","Memphis Grizzlies","39","241.3","43.4","92.7",".468","11.4","33.3",".342","32.0","59.4",".539","18.0","25.2",".715","13.2","35.8","49.0","25.3","7.9","6.0","14.4","20.0","116.2"
"10","Indiana Pacers","41","240.6","41.2","89.1",".463","14.4","38.8",".370","26.9","50.3",".534","18.8","23.5",".800","9.7","32.3","42.0","26.9","8.0","5.9","15.2","21.6","115.6"
"11","Atlanta Hawks","40","243.1","43.5","92.8",".469","10.3","31.0",".331","33.3","61.9",".538","18.0","22.0",".818","10.6","33.5","44.1","24.0","7.1","5.1","12.9","19.4","115.3"
"12","Chicago Bulls","40","243.1","42.7","87.3",".490","10.8","28.7",".377","31.9","58.6",".545","18.8","23.0",".817","8.6","33.8","42.4","24.5","7.5","4.8","13.9","19.9","115.1"
"13","Minnesota Timberwolves","41","240.6","42.4","86.2",".491","11.1","32.3",".343","31.3","54.0",".580","18.9","24.3",".776","9.1","32.9","42.0","25.4","8.1","5.3","16.0","22.0","114.7"
"14","Brooklyn Nets","40","240.6","43.0","84.0",".512","12.2","31.1",".392","30.8","52.9",".583","16.5","20.5",".802","7.5","33.0","40.5","26.4","7.1","7.0","14.6","21.7","114.6"
"15","New York Knicks","40","243.1","41.3","90.2",".457","12.0","35.1",".341","29.3","55.1",".532","19.7","25.5",".773","12.9","34.3","47.2","23.1","6.6","4.3","13.6","21.0","114.2"
"16","Philadelphia 76ers","39","243.2","40.3","84.6",".477","12.8","33.5",".381","27.6","51.1",".540","19.4","23.7",".819","8.5","32.0","40.5","24.6","8.3","4.9","14.1","20.4","112.8"
"17","Phoenix Suns","41","241.8","41.8","89.9",".465","13.0","33.8",".383","28.8","56.0",".515","16.2","20.4",".794","11.7","31.1","42.9","26.5","7.0","5.0","13.8","21.1","112.7"
"18","Dallas Mavericks","41","243.0","39.0","83.2",".469","14.7","41.0",".358","24.4","42.2",".577","19.7","26.4",".745","7.8","31.2","39.0","21.9","6.9","4.0","12.4","21.0","112.4"
"19","Milwaukee Bucks","39","242.6","40.8","89.7",".455","13.1","38.2",".343","27.7","51.6",".538","17.7","23.9",".740","12.3","37.0","49.3","24.4","6.6","5.4","15.7","18.7","112.4"
"20","Portland Trail Blazers","39","241.3","40.1","84.3",".476","12.6","33.3",".378","27.5","51.1",".539","19.4","25.2",".771","10.7","32.6","43.4","24.2","6.6","4.1","15.8","20.7","112.2"
"21","Washington Wizards","40","241.3","41.8","86.8",".481","10.7","31.3",".343","31.1","55.5",".560","17.8","23.1",".770","9.3","34.7","44.0","24.9","6.9","5.5","14.1","19.3","112.1"
"22","San Antonio Spurs","40","240.6","42.8","90.4",".473","10.9","31.7",".345","31.9","58.8",".542","15.6","21.2",".735","11.9","31.0","42.8","26.9","7.0","4.2","16.0","20.0","112.0"
"23","Charlotte Hornets","41","243.7","41.7","93.4",".446","11.0","33.7",".325","30.7","59.7",".514","17.6","23.5",".749","12.6","33.2","45.9","25.1","8.0","5.0","13.9","21.4","111.9"
"24","Detroit Pistons","43","241.7","39.6","87.7",".452","11.6","32.7",".355","28.0","55.0",".509","20.9","27.1",".771","11.3","31.7","43.0","22.4","7.0","3.5","14.9","22.3","111.7"
"25","Cleveland Cavaliers","41","244.3","40.6","84.4",".482","11.6","31.8",".365","29.0","52.6",".552","18.6","23.9",".778","9.7","33.0","42.7","23.7","6.6","4.1","14.3","18.9","111.5"
"26","Toronto Raptors","40","241.9","40.3","90.3",".447","10.6","32.4",".326","29.8","57.9",".514","20.0","25.1",".796","12.4","30.1","42.5","22.8","9.4","5.2","12.1","20.8","111.2"
"27","Orlando Magic","40","241.3","39.9","85.0",".469","10.7","31.0",".344","29.2","54.0",".541","20.0","25.2",".794","10.0","33.3","43.3","22.3","6.8","4.8","15.5","20.8","110.4"
"28","Los Angeles Clippers","42","241.2","39.3","85.3",".461","12.4","33.6",".368","26.9","51.7",".521","18.1","23.8",".763","10.0","34.1","44.1","22.9","6.7","4.6","15.1","19.7","109.1"
"29","Houston Rockets","40","241.3","39.0","88.1",".443","11.6","35.2",".330","27.4","52.9",".518","19.5","25.4",".767","13.2","33.6","46.8","21.8","7.5","4.6","17.0","20.7","109.1"
"30","Miami Heat","41","241.8","39.2","86.7",".452","12.4","36.4",".340","26.8","50.3",".533","18.0","21.9",".819","9.7","31.0","40.7","23.7","8.4","3.1","13.4","19.2","108.7"
